stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
11757,,PATTERSON RD @ SHADOWLAWN AV,PATTERSON RD & FIRWOOD DR,39.72474,-84.1591,,,,,0
11758,,PATTERSON RD @ SHROYER RD,,39.724721,-84.160415,,,,,0
11759,,IRVING AV @ FIRWOOD DR,,39.732384,-84.162898,,,,,0
11761,,IRVING AV @ ACACIA DR,,39.733456,-84.169933,,,,,0
11762,,IRVING AV @ MAHRT AV,,39.734104,-84.171557,,,,,0
11763,,IRVING AV @ EVANSTON AV,,39.734389,-84.173953,,,,,0
11765,,IRVING AV @ LAWNVIEW AV,,39.733965,-84.176727,,,,,0
11767,,IRVING AV @ BROWN ST,,39.733406,-84.180128,,,,,0
11768,,N SMITHVILLE RD @ FAIRPARK AV,,39.774448,-84.135423,,,,,0
11769,,N SMITHVILLE RD @ RADIO RD,,39.772923,-84.135605,,,,,0
11770,,N SMITHVILLE RD @ RANGELEY AV,,39.771965,-84.137137,,,,,0
11772,,N SMITHVILLE RD @ 2ND ST,,39.768378,-84.137534,,,,,0
11773,,S SMITHVILLE RD @ 3RD ST,,39.765593,-84.137844,,,,,0
11774,,S SMITHVILLE RD @ 5TH ST,,39.762609,-84.138037,,,,,0
11775,,S SMITHVILLE RD @ BURKHARDT RD,,39.760389,-84.138237,,,,,0
11780,,S SMITHVILLE RD @ LINDEN AV,S Smithville Rd & Linden Av,39.747282,-84.139785,,,,,0
11782,,S SMITHVILLE RD @ MARIMONT DR,,39.744528,-84.139901,,,,,0
11783,,S SMITHVILLE RD @ CLEVELAND AV,,39.742826,-84.140086,,,,,0
11785,,S SMITHVILLE RD @ ARCADIA BLVD,,39.740105,-84.140326,,,,,0
11786,,S SMITHVILLE RD @ WAYNE AV,S Smithville Rd & Pleasant View Av,39.738714,-84.140577,,,,,0
11787,,S SMITHVILLE RD @ WOODBINE AV,,39.735955,-84.140754,,,,,0
11788,,S SMITHVILLE RD @ JOHN GLENN RD,S Smithville Rd & John Glenn Rd,39.734181,-84.141008,,,,,0
11789,,S SMITHVILLE RD @ WATERVLIET AV,S Smithville Rd & Watervliet Av,39.730816,-84.141334,,,,,0
11790,,S SMITHVILLE RD @ BELLAIRE AV,S Smithville Rd & Bellaire Av,39.728969,-84.141497,,,,,0
11792,,S SMITHVILLE RD @ EWALT AV,,39.725577,-84.141717,,,,,0
11793,,S SMITHVILLE RD @ PATTERSON RD,S Smithville Rd & Patterson Rd,39.723909,-84.141963,,,,,0
11794,,S SMITHVILLE RD @ ASHLAND AV,,39.721575,-84.142092,,,,,0
11795,,S SMITHVILLE RD @ TABOR AV,S Smithville Rd & Tabor Av,39.719527,-84.142347,,,,,0
11796,,S SMITHVILLE RD @ FORRER BLVD,,39.716435,-84.142573,,,,,0
11797,,S SMITHVILLE RD @ WILMINGTON PIK,,39.713351,-84.142868,,,,,0
11802,,E DOROTHY LN @ WILMINGTON PK,,39.703581,-84.140127,,,,,0
11803,,E DOROTHY LN @ LARUE DR,,39.703504,-84.138353,,,,,0
11804,,E DOROTHY LN @ BULAH DR,,39.703265,-84.134381,,,,,0
