service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20151025,20160123
2,0,0,0,0,0,1,0,20151025,20160123
3,0,0,0,0,0,0,1,20151025,20160123
101,0,1,1,1,1,1,0,20151025,20160123
10101,0,1,0,0,0,0,0,20151025,20160123
10001,0,0,1,1,1,0,0,20151025,20160123
9401,0,0,0,0,0,1,0,20151025,20160123
7201,0,1,0,1,0,0,0,20151025,20160123
7301,0,0,1,0,1,0,0,20151025,20160123
